In,Heb,Eng,TAZ,Centrioid-X,Centrioid-Y
1195,תל אביב -יפו,TEL AVIV - YAFO,1420,179713.5202,665060.6032
1196,תל אביב -יפו,TEL AVIV - YAFO,1421,179672.5762,665600.6979
1197,תל אביב -יפו,TEL AVIV - YAFO,1817,179724.7695,661818.298
1198,תל אביב -יפו,TEL AVIV - YAFO,1931,180094.0158,661930.53
1199,תל אביב -יפו,TEL AVIV - YAFO,1806,179758.423,662408.5417
1200,תל אביב -יפו,TEL AVIV - YAFO,1932,180414.5578,661830.4932
1201,תל אביב -יפו,TEL AVIV - YAFO,1930,180095.4574,662234.6222
1202,תל אביב -יפו,TEL AVIV - YAFO,1929,180185.2909,662529.659
1203,תל אביב -יפו,TEL AVIV - YAFO,1805,179703.748,662724.8099
1204,תל אביב -יפו,TEL AVIV - YAFO,1613,180005.7185,663323.8949
1205,תל אביב -יפו,TEL AVIV - YAFO,1612,179668.2982,663368.898
1206,תל אביב -יפו,TEL AVIV - YAFO,1912,180298.114,663209.5466
1207,תל אביב -יפו,TEL AVIV - YAFO,1911,180227.1816,662813.6026
1208,תל אביב -יפו,TEL AVIV - YAFO,1928,180671.441,662200.2238
1209,תל אביב -יפו,TEL AVIV - YAFO,1521,177740.035,663656.0569
1210,תל אביב -יפו,TEL AVIV - YAFO,1524,178103.8626,663351.0619
1211,תל אביב -יפו,TEL AVIV - YAFO,1523,177738.5166,662985.1646
1212,תל אביב -יפו,TEL AVIV - YAFO,1522,177436.0696,663061.481
1213,תל אביב -יפו,TEL AVIV - YAFO,1520,177915.6754,664235.4176
1214,תל אביב -יפו,TEL AVIV - YAFO,1816,179128.9312,661872.2017
1215,תל אביב -יפו,TEL AVIV - YAFO,1810,178710.0594,662107.6271
1216,תל אביב -יפו,TEL AVIV - YAFO,1814,178577.5892,661597.9434
1217,תל אביב -יפו,TEL AVIV - YAFO,1811,178568.3294,662303.5862
1218,תל אביב -יפו,TEL AVIV - YAFO,1701,178186.3359,662333.0701
1219,תל אביב -יפו,TEL AVIV - YAFO,1813,178331.3347,662644.9781
1220,תל אביב -יפו,TEL AVIV - YAFO,1702,177841.2816,662642.7529
1221,תל אביב -יפו,TEL AVIV - YAFO,1801,178314.6469,662932.6997
1222,תל אביב -יפו,TEL AVIV - YAFO,1525,178541.3942,663319.4314
1223,תל אביב -יפו,TEL AVIV - YAFO,1802,178628.4753,662984.0007
1224,תל אביב -יפו,TEL AVIV - YAFO,1812,178612.661,662699.8909
1225,תל אביב -יפו,TEL AVIV - YAFO,1809,178821.5609,662619.7249
1226,תל אביב -יפו,TEL AVIV - YAFO,1803,178960.6654,662927.6731
1227,תל אביב -יפו,TEL AVIV - YAFO,1807,179407.0242,662417.5914
1228,תל אביב -יפו,TEL AVIV - YAFO,1815,178928.1867,661218.7356
1229,תל אביב -יפו,TEL AVIV - YAFO,1808,179197.6649,662201.279
1230,תל אביב -יפו,TEL AVIV - YAFO,1818,179388.4411,661168.0139
1231,תל אביב -יפו,TEL AVIV - YAFO,1804,179350.9156,663033.8064
1232,תל אביב -יפו,TEL AVIV - YAFO,1517,178478.1818,663677.1257
1233,תל אביב -יפו,TEL AVIV - YAFO,1515,178502.327,663528.9875
1234,חולון,HOLON,2834,179522.4674,658408.4063
1235,חולון,HOLON,2816,179551.2092,659000.9988
1236,חולון,HOLON,2817,179474.8196,658769.6457
1237,חולון,HOLON,2819,179154.1674,659223.2774
1238,מקווה ישראל,MIQWE YISRA'EL,2801,179754.1474,659732.4233
1239,חולון,HOLON,2818,179472.9882,659290.9532
1240,תל אביב -יפו,TEL AVIV - YAFO,1727,178445.0933,660369.6467
1241,תל אביב -יפו,TEL AVIV - YAFO,1713,178690.0554,660694.3901
1242,תל אביב -יפו,TEL AVIV - YAFO,1712,178144.1382,661871.2646
1243,חולון,HOLON,2835,179773.0701,658560.072
1244,חולון,HOLON,2815,180246.127,658740.5051
1246,תל אביב -יפו,TEL AVIV - YAFO,1707,176259.7182,661418.9811
1247,תל אביב -יפו,TEL AVIV - YAFO,1706,176670.1955,662228.0949
1248,תל אביב -יפו,TEL AVIV - YAFO,1704,177264.2411,662501.6302
1249,בת ים,BAT YAM,2925,175615.0075,658418.8473
1250,בת ים,BAT YAM,2924,175810.7051,658217.775
1251,בת ים,BAT YAM,2911,175697.5172,658702.6352
1252,בת ים,BAT YAM,2910,175770.342,659074.144
1253,בת ים,BAT YAM,2902,175808.2246,659692.4267
1254,בת ים,BAT YAM,2923,176012.9647,658101.3632
1255,בת ים,BAT YAM,2922,176189.3889,658063.2435
1256,בת ים,BAT YAM,2912,176016.2851,658459.8622
1257,בת ים,BAT YAM,2909,176098.2712,659077.7359
1258,בת ים,BAT YAM,2921,176278.5728,658352.0717
1259,בת ים,BAT YAM,2919,176807.8572,658309.926
1260,בת ים,BAT YAM,2914,176332.0228,658592.1483
1261,בת ים,BAT YAM,2913,176287.2779,658824.3231
1262,בת ים,BAT YAM,2901,176155.8668,659738.0748
1263,בת ים,BAT YAM,2915,176738.8511,658685.1394
1264,בת ים,BAT YAM,2916,177051.6581,658479.7946
1265,בת ים,BAT YAM,2917,177272.2935,658441.2883
1266,בת ים,BAT YAM,2907,176740.2797,659049.0802
1267,תל אביב -יפו,TEL AVIV - YAFO,1926,181070.5068,662137.0578
1268,תל אביב -יפו,TEL AVIV - YAFO,1609,179821.3303,663965.0119
1269,תל אביב -יפו,TEL AVIV - YAFO,1604,180097.5392,664334.6535
1270,תל אביב -יפו,TEL AVIV - YAFO,1608,180181.2827,663793.177
1271,תל אביב -יפו,TEL AVIV - YAFO,1607,180431.3058,664206.5091
1272,תל אביב -יפו,TEL AVIV - YAFO,1418,180010.7584,664991.4709
1273,תל אביב -יפו,TEL AVIV - YAFO,1419,179978.7538,665455.0137
1274,תל אביב -יפו,TEL AVIV - YAFO,1605,180188.1595,664744.383
1275,תל אביב -יפו,TEL AVIV - YAFO,1417,180302.0514,665020.3988
1276,תל אביב -יפו,TEL AVIV - YAFO,1416,180332.2485,665311.153
1277,תל אביב -יפו,TEL AVIV - YAFO,1415,180546.7108,665373.2074
1278,תל אביב -יפו,TEL AVIV - YAFO,1910,180675.4297,663670.5232
1279,תל אביב -יפו,TEL AVIV - YAFO,1909,180772.4247,663973.3331
1280,תל אביב -יפו,TEL AVIV - YAFO,1902,180841.62,664267.2671
1281,תל אביב -יפו,TEL AVIV - YAFO,1606,180555.7508,664650.045
1282,תל אביב -יפו,TEL AVIV - YAFO,1601,180767.2809,665071.8218
1283,תל אביב -יפו,TEL AVIV - YAFO,1326,178299.0802,665414.312
1284,תל אביב -יפו,TEL AVIV - YAFO,1324,178490.0619,665691.8823
1285,תל אביב -יפו,TEL AVIV - YAFO,1307,178448.5008,666225.9976
1286,תל אביב -יפו,TEL AVIV - YAFO,1321,178704.3872,665624.376
1287,תל אביב -יפו,TEL AVIV - YAFO,1319,178950.4768,665329.3073
1288,תל אביב -יפו,TEL AVIV - YAFO,1318,178975.2302,665547.3344
1289,תל אביב -יפו,TEL AVIV - YAFO,1308,178689.2114,665937.0429
1290,תל אביב -יפו,TEL AVIV - YAFO,1309,178749.4493,666196.5098
1291,תל אביב -יפו,TEL AVIV - YAFO,1306,178836.7601,666880.5932
1292,תל אביב -יפו,TEL AVIV - YAFO,1305,178863.2489,666485.9309
1293,תל אביב -יפו,TEL AVIV - YAFO,1311,179073.8928,665809.7579
1294,תל אביב -יפו,TEL AVIV - YAFO,1310,179032.4189,666135.6139
1295,תל אביב -יפו,TEL AVIV - YAFO,1304,179092.0058,666449.3144
1296,תל אביב -יפו,TEL AVIV - YAFO,1312,179357.8166,666058.2549
1297,תל אביב -יפו,TEL AVIV - YAFO,1314,179380.8536,665650.8562
1298,תל אביב -יפו,TEL AVIV - YAFO,1303,179137.2483,666931.8508
1299,תל אביב -יפו,TEL AVIV - YAFO,1301,178921.6313,667403.5577
1300,תל אביב -יפו,TEL AVIV - YAFO,1313,179413.4466,666400.4721
1301,תל אביב -יפו,TEL AVIV - YAFO,1302,179486.6148,666834.5508
1302,תל אביב -יפו,TEL AVIV - YAFO,1407,179759.1401,665961.0931
1303,תל אביב -יפו,TEL AVIV - YAFO,1409,180090.6105,665864.4388
1304,תל אביב -יפו,TEL AVIV - YAFO,1410,180163.6838,666280.5575
1305,תל אביב -יפו,TEL AVIV - YAFO,1412,180595.8525,666437.6489
1306,תל אביב -יפו,TEL AVIV - YAFO,1408,179813.2104,666294.0034
1307,תל אביב -יפו,TEL AVIV - YAFO,1406,180023.7069,666628.4139
1308,תל אביב -יפו,TEL AVIV - YAFO,1405,179863.923,666880.9819
1309,תל אביב -יפו,TEL AVIV - YAFO,1411,180543.9457,665761.4517
1310,תל אביב -יפו,TEL AVIV - YAFO,1123,179950.9142,667550.3244
